X studied variable,Y studied variable,Computed marginal EPMF of X,Computed marginal EPMF of Y,Chi2,Chi2 p-value,Information entropy of X,Information entropy of Y,Joint information entropy of X and Y ,Conditional information entropy of Y given X,Conditional information entropy of X given Y,Mutual information of X and Y,Normalized mutual information of X and Y
0,0,96,96,3064320.0,0.0,4.5643481914678405,4.5643481914678405,4.5643481914678405,0.0,0.0,4.5643481914678405,1.0
0,1,96,2,217.00612856279588,1.54305457300552e-11,4.5643481914678405,0.3412878443450779,4.902020350009642,4.560732505664561,0.33767215854180416,0.0036156858032771466,0.0028969492711753576
0,2,96,2,152.10810001603997,0.00018102598419977856,4.5643481914678405,0.20189708809153672,4.7641965413949094,4.562299453303368,0.19984834992705985,0.002048738164481978,0.002134184917849122
0,3,96,2,7.518752755121628e-26,1.0,4.564348191467841,0.515686531521887,5.08003472298974,4.564348191467841,0.5156865315218858,1.2323475573339238e-14,8.032503631824618e-15
0,4,96,2,2.011260552412588e-26,1.0,4.564348191467841,0.6801764621559054,5.244524653623746,4.564348191467838,0.6801764621559058,2.7755575615628914e-15,1.5752520571865664e-15
0,5,96,2,2.792710574239121e-26,1.0,4.5643481914678405,0.6886051523183017,5.252953343786129,4.5643481914678405,0.6886051523183006,-1.199040866595169e-14,-6.763312705964251e-15
0,6,96,2,29.80243066598312,0.9999999999854748,4.564348191467841,0.6928334064309014,5.256718240862089,4.563884834431197,0.6923700493942555,0.0004633570366363582,0.0002605625339951114
0,7,96,2,0.26879185255465166,1.0,4.564348191467841,0.6106855744048895,5.175029595697368,4.56434402129247,0.6106814042295337,4.170175364359707e-06,2.497791044231389e-06
0,8,96,389,77569.02654149939,0.0,4.56434819146784,3.7927921500087995,7.700271076337761,3.907478926329477,3.1359228848703267,0.6568692651379573,0.15787379052099693
0,9,96,389,77569.02654149958,0.0,4.56434819146784,3.7927921500088035,7.700271076337759,3.9074789263294774,3.1359228848703284,0.6568692651379533,0.15787379052099587
0,10,96,1448,203007.25847884786,0.0,4.564348191467836,5.797659709576215,9.062814732349327,3.265155022773811,4.498466540882013,1.2991931686935034,0.252556170763782
1,1,2,2,32255.999999999993,0.0,0.34128784434507875,0.34128784434507875,0.34128784434507875,0.0,0.0,0.34128784434507875,1.0
1,2,2,2,209.4862273120891,0.0,0.34128784434507875,0.20189708809153545,0.5372029293943497,0.33530584130281427,0.1959150850492709,0.005982003042264483,0.022788786086373376
1,3,2,2,1041.0955256514117,0.0,0.34128784434507875,0.5156865315218879,0.8297651261232724,0.3140785946013844,0.48847728177819355,0.027209249743694375,0.06485795668421826
1,4,2,2,2809.7171770288896,0.0,0.34128784434507875,0.6801764621559055,0.9583248884333239,0.2781484262774182,0.617037044088245,0.06313941806766066,0.13104768858109614
1,5,2,2,4703.837827164827,0.0,0.34128784434507875,0.6886051523183012,0.9366785748955752,0.24807342257727388,0.5953907305504964,0.09321442176780481,0.19228152850072208
1,6,2,2,1263.7526757743008,0.0,0.34128784434507875,0.6928334064309015,1.013221445168562,0.32038803873766053,0.6719336008234832,0.02089980560741822,0.04298010049100549
1,7,2,2,1663.6626074347587,0.0,0.34128784434507875,0.6106855744048897,0.9109441974053546,0.30025862300046485,0.5696563530602757,0.041029221344614064,0.08987192295477882
1,8,2,389,2253.2173191459133,0.0,0.34128784434508214,3.792792150008801,4.094028180226027,0.30123603021724393,3.752740335880962,0.04005181412782077,0.03520320949708259
1,9,2,389,2253.217319145914,0.0,0.3412878443450818,3.7927921500088035,4.094028180226029,0.30123603021724393,3.7527403358809654,0.040051814127819885,0.03520320949708181
1,10,2,1448,3990.670670607334,0.0,0.34128784434509185,5.797659709576215,6.077501545224924,0.27984183564884246,5.7362137008801,0.061446008695980936,0.043682441834632546
2,2,2,2,32256.0,0.0,0.20189708809153545,0.20189708809153545,0.20189708809153545,0.0,0.0,0.20189708809153545,1.0
