"","Dept","CF8pm","CF6pm","Mask_transp","Mask_Closed","Mask_business","NSE","Lockdown","ICU_adm","ICU_adm_conso","Hospit","R.t.Mean"
"21769",74,0,0,1,1,1,0,0,4,0.004678363,44,1.204102715
"21770",75,0,0,1,1,1,0,0,133,0.155555556,583,2.676873316
"21771",76,0,0,1,1,1,0,0,36,0.042105263,203,1.860272264
"21772",77,0,0,1,1,1,0,0,47,0.05497076,172,1.253128998
"21773",78,0,0,1,1,1,0,0,32,0.037426901,272,1.277359471
"21774",79,0,0,1,1,1,0,0,1,0.001169591,6,1.497468375
"21775",80,0,0,1,1,1,0,0,16,0.01871345,68,1.47895471
"21776",81,0,0,1,1,1,0,0,6,0.007017544,60,1.325727783
"21777",82,0,0,1,1,1,0,0,9,0.010526316,26,1.149926098
"21778",83,0,0,1,1,1,0,0,15,0.01754386,64,1.450357896
"21779",84,0,0,1,1,1,0,0,13,0.015204678,119,1.857817467
"21780",85,0,0,1,1,1,0,0,5,0.005847953,16,1.408460214
"21781",86,0,0,1,1,1,0,0,1,0.001169591,6,1.713156745
"21782",87,0,0,1,1,1,0,0,4,0.004678363,43,1.26097169
"21783",88,0,0,1,1,1,0,0,2,0.002339181,7,1.091107665
"21784",89,0,0,1,1,1,0,0,5,0.005847953,22,1.254326597
"21785",90,0,0,1,1,1,0,0,6,0.007017544,16,1.583239586
"21786",91,0,0,1,1,1,0,0,54,0.063157895,216,1.274525927
"21787",92,0,0,1,1,1,0,0,73,0.085380117,405,1.204593467
"21788",93,0,0,1,1,1,0,0,75,0.087719298,468,1.465101026
"21789",94,0,0,1,1,1,0,0,61,0.071345029,429,1.351144958
"21790",95,0,0,1,1,1,0,0,36,0.042105263,205,1.326772329
"21791",201,0,0,1,1,1,0,0,6,0.007017544,11,1.307918233
"21792",202,0,0,1,1,1,0,0,6,0.007017544,21,1.334127326
"21793",1,0,0,1,1,1,0,0,8,0.009356725,44,1.727400709
"21794",2,0,0,1,1,1,0,0,6,0.007017544,60,1.640514686
"21795",3,0,0,1,1,1,0,0,4,0.004678363,51,2.069136093
"21796",4,0,0,1,1,1,0,0,3,0.003508772,14,1.653782692
"21797",5,0,0,1,1,1,0,0,3,0.003508772,31,3.016715777
"21798",6,0,0,1,1,1,0,0,21,0.024561404,146,1.637444281
"21799",7,0,0,1,1,1,0,0,6,0.007017544,28,2.286536877
"21800",8,0,0,1,1,1,0,0,4,0.004678363,13,2.251894267
"21801",9,0,0,1,1,1,0,0,6,0.007017544,15,1.431085096
"21802",10,0,0,1,1,1,0,0,3,0.003508772,18,1.834153886
"21803",11,0,0,1,1,1,0,0,5,0.005847953,12,1.400502169
"21804",12,0,0,1,1,1,0,0,3,0.003508772,32,1.426354739
"21805",13,0,0,1,1,1,0,0,143,0.167251462,579,1.260568979
"21806",14,0,0,1,1,1,0,0,18,0.021052632,63,1.544245115
"21807",15,0,0,1,1,1,0,0,4,0.004678363,41,2.688034021
"21808",16,0,0,1,1,1,0,0,2,0.002339181,4,1.054651957
"21809",17,0,0,1,1,1,0,0,4,0.004678363,28,1.335764712
"21810",18,0,0,1,1,1,0,0,3,0.003508772,21,1.563288554
"21811",19,0,0,1,1,1,0,0,3,0.003508772,20,1.551257028
"21812",21,0,0,1,1,1,0,0,12,0.014035088,49,1.394513716
"21813",22,0,0,1,1,1,0,0,2,0.002339181,17,1.580212208
"21814",23,0,0,1,1,1,0,0,2,0.002339181,4,1.876267281
"21815",24,0,0,1,1,1,0,0,1,0.001169591,19,1.488421186
"21816",25,0,0,1,1,1,0,0,5,0.005847953,18,1.33127286
"21817",26,0,0,1,1,1,0,0,11,0.012865497,60,1.405880411
"21818",27,0,0,1,1,1,0,0,6,0.007017544,81,1.439873535
"21819",28,0,0,1,1,1,0,0,9,0.010526316,41,1.5056516
"21820",29,0,0,1,1,1,0,0,2,0.002339181,27,1.177797777
"21821",30,0,0,1,1,1,0,0,25,0.029239766,94,1.440760155
"21822",31,0,0,1,1,1,0,0,50,0.058479532,153,2.343401116
"21823",32,0,0,1,1,1,0,0,2,0.002339181,21,1.268356576
"21824",33,0,0,1,1,1,0,0,30,0.035087719,188,1.120758069
"21825",34,0,0,1,1,1,0,0,47,0.05497076,180,1.154520922
"21826",35,0,0,1,1,1,0,0,14,0.016374269,85,0.989826197
"21827",36,0,0,1,1,1,0,0,5,0.005847953,16,1.470940783
"21828",37,0,0,1,1,1,0,0,12,0.014035088,39,1.051198011
"21829",38,0,0,1,1,1,0,0,39,0.045614035,224,1.668671826
"21830",39,0,0,1,1,1,0,0,1,0.001169591,20,1.283565591
"21831",40,0,0,1,1,1,0,0,4,0.004678363,40,1.563132891
"21832",41,0,0,1,1,1,0,0,1,0.001169591,16,1.72876647
"21833",42,0,0,1,1,1,0,0,46,0.05380117,275,1.914101893
"21834",43,0,0,1,1,1,0,0,3,0.003508772,18,1.189351584
"21835",44,0,0,1,1,1,0,0,13,0.015204678,88,1.650823756
"21836",45,0,0,1,1,1,0,0,14,0.016374269,62,0.851607697
"21837",46,0,0,1,1,1,0,0,1,0.001169591,4,1.330451398
"21838",47,0,0,1,1,1,0,0,4,0.004678363,24,1.427331627
"21839",48,0,0,1,1,1,0,0,0,0,11,1.121878368
"21840",49,0,0,1,1,1,0,0,12,0.014035088,55,1.200903647
"21841",50,0,0,1,1,1,0,0,2,0.002339181,21,1.638147659
"21842",51,0,0,1,1,1,0,0,13,0.015204678,50,1.583347879
"21843",52,0,0,1,1,1,0,0,1,0.001169591,22,1.748554716
"21844",53,0,0,1,1,1,0,0,1,0.001169591,14,1.281161752
"21845",54,0,0,1,1,1,0,0,8,0.009356725,57,1.744052506
